Demographic Trends of People Receiving COVID-19 Vaccinations in the United States,,,,,,,,https://covid.cdc.gov/covid-data-tracker/#vaccination-demographics-trends,,,,,,,
Date generated: Tue Apr 27 2021 08:33:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,
Disclaimer:,,,,,,,,,,,,,,,
Due to a data synchronization error between April 3-5 2021 the daily count of doses reporting “Unknown Age” in the COVID-19 Case Surveillance Public Use Data incorrectly appeared higher than expected. The issue was resolved on April 6 2021 and the count of doses reporting ‘Unknown Age’ accurately reflects the totals reported to CDC.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Age Group,People with at least one dose,People who are fully vaccinated,Percent of age group with at least one dose,Percent of age group fully vaccinated,Census,,,,,,,,,
4/26/2021,Ages_75+_yrs,17242082,14462569,80.8,67.7,21351691,,,,,,,,,
4/25/2021,Ages_75+_yrs,17219221,14428783,80.6,67.6,21351691,,,,,,,,,
4/24/2021,Ages_75+_yrs,17186407,14371388,80.5,67.3,21351691,,,,,,,,,
4/23/2021,Ages_75+_yrs,17141893,14288615,80.3,66.9,21351691,,,,,,,,,
4/22/2021,Ages_75+_yrs,17093847,14203147,80.1,66.5,21351691,,,,,,,,,
4/21/2021,Ages_75+_yrs,17055107,14132216,79.9,66.2,21351691,,,,,,,,,
4/20/2021,Ages_75+_yrs,17019897,14064226,79.7,65.9,21351691,,,,,,,,,
4/19/2021,Ages_75+_yrs,16987123,14017719,79.6,65.7,21351691,,,,,,,,,
4/18/2021,Ages_75+_yrs,16966486,13974624,79.5,65.4,21351691,,,,,,,,,
4/17/2021,Ages_75+_yrs,16920118,13879371,79.2,65,21351691,,,,,,,,,
4/16/2021,Ages_75+_yrs,16869782,13773571,79,64.5,21351691,,,,,,,,,
4/15/2021,Ages_75+_yrs,16810900,13634439,78.7,63.9,21351691,,,,,,,,,
4/14/2021,Ages_75+_yrs,16752003,13531600,78.5,63.4,21351691,,,,,,,,,
4/13/2021,Ages_75+_yrs,16690952,13458753,78.2,63,21351691,,,,,,,,,
4/12/2021,Ages_75+_yrs,16654072,13389710,78,62.7,21351691,,,,,,,,,
4/11/2021,Ages_75+_yrs,16606933,13311346,77.8,62.3,21351691,,,,,,,,,
4/10/2021,Ages_75+_yrs,16542952,13184365,77.5,61.7,21351691,,,,,,,,,
4/9/2021,Ages_75+_yrs,16446296,12993032,77,60.9,21351691,,,,,,,,,
4/8/2021,Ages_75+_yrs,16369458,12847611,76.7,60.2,21351691,,,,,,,,,
4/7/2021,Ages_75+_yrs,16302018,12705813,76.4,59.5,21351691,,,,,,,,,
4/6/2021,Ages_75+_yrs,16229481,12581890,76,58.9,21351691,,,,,,,,,
4/5/2021,Ages_75+_yrs,16102923,12308715,75.4,57.6,21351691,,,,,,,,,
4/4/2021,Ages_75+_yrs,16102603,12306366,75.4,57.6,21351691,,,,,,,,,
4/3/2021,Ages_75+_yrs,16101974,12300827,75.4,57.6,21351691,,,,,,,,,
4/2/2021,Ages_75+_yrs,16015254,12113170,75,56.7,21351691,,,,,,,,,
4/1/2021,Ages_75+_yrs,15912865,11874028,74.5,55.6,21351691,,,,,,,,,
3/31/2021,Ages_75+_yrs,15827616,11694012,74.1,54.8,21351691,,,,,,,,,
3/30/2021,Ages_75+_yrs,15755182,11551989,73.8,54.1,21351691,,,,,,,,,
3/29/2021,Ages_75+_yrs,15717469,11462128,73.6,53.7,21351691,,,,,,,,,
3/28/2021,Ages_75+_yrs,15663561,11340051,73.4,53.1,21351691,,,,,,,,,
3/27/2021,Ages_75+_yrs,15575262,11142600,72.9,52.2,21351691,,,,,,,,,
3/26/2021,Ages_75+_yrs,15462377,10930398,72.4,51.2,21351691,,,,,,,,,
3/25/2021,Ages_75+_yrs,15336407,10737229,71.8,50.3,21351691,,,,,,,,,
3/24/2021,Ages_75+_yrs,15231705,10576756,71.3,49.5,21351691,,,,,,,,,
3/23/2021,Ages_75+_yrs,15131315,10437991,70.9,48.9,21351691,,,,,,,,,
3/22/2021,Ages_75+_yrs,15049439,10343006,70.5,48.4,21351691,,,,,,,,,
3/21/2021,Ages_75+_yrs,14979562,10223314,70.2,47.9,21351691,,,,,,,,,
3/20/2021,Ages_75+_yrs,14859889,10037685,69.6,47,21351691,,,,,,,,,
3/19/2021,Ages_75+_yrs,14715208,9822558,68.9,46,21351691,,,,,,,,,
3/18/2021,Ages_75+_yrs,14594447,9625365,68.4,45.1,21351691,,,,,,,,,
3/17/2021,Ages_75+_yrs,14460747,9423293,67.7,44.1,21351691,,,,,,,,,
3/16/2021,Ages_75+_yrs,14340182,9217051,67.2,43.2,21351691,,,,,,,,,
3/15/2021,Ages_75+_yrs,14257231,9071956,66.8,42.5,21351691,,,,,,,,,
3/14/2021,Ages_75+_yrs,14156019,8891642,66.3,41.6,21351691,,,,,,,,,
3/13/2021,Ages_75+_yrs,14002765,8662255,65.6,40.6,21351691,,,,,,,,,
3/12/2021,Ages_75+_yrs,13673017,8343114,64,39.1,21351691,,,,,,,,,
3/11/2021,Ages_75+_yrs,13485719,8049891,63.2,37.7,21351691,,,,,,,,,
3/10/2021,Ages_75+_yrs,13304130,7812890,62.3,36.6,21351691,,,,,,,,,
3/9/2021,Ages_75+_yrs,13154724,7636734,61.6,35.8,21351691,,,,,,,,,
3/8/2021,Ages_75+_yrs,13043637,7514212,61.1,35.2,21351691,,,,,,,,,
3/7/2021,Ages_75+_yrs,12929032,7346671,60.6,34.4,21351691,,,,,,,,,
3/6/2021,Ages_75+_yrs,12731122,7099980,59.6,33.3,21351691,,,,,,,,,
3/5/2021,Ages_75+_yrs,12466092,6791260,58.4,31.8,21351691,,,,,,,,,
3/4/2021,Ages_75+_yrs,12233430,6515564,57.3,30.5,21351691,,,,,,,,,
3/3/2021,Ages_75+_yrs,12038661,6270596,56.4,29.4,21351691,,,,,,,,,
3/2/2021,Ages_75+_yrs,11878593,6059690,55.6,28.4,21351691,,,,,,,,,
3/1/2021,Ages_75+_yrs,11729555,5904656,54.9,27.7,21351691,,,,,,,,,
2/28/2021,Ages_75+_yrs,11574978,5669523,54.2,26.6,21351691,,,,,,,,,
2/27/2021,Ages_75+_yrs,11338496,5345059,53.1,25,21351691,,,,,,,,,
2/26/2021,Ages_75+_yrs,11093517,4998144,52,23.4,21351691,,,,,,,,,
2/25/2021,Ages_75+_yrs,10871392,4673220,50.9,21.9,21351691,,,,,,,,,
2/24/2021,Ages_75+_yrs,10694464,4394804,50.1,20.6,21351691,,,,,,,,,
2/23/2021,Ages_75+_yrs,10550922,4168729,49.4,19.5,21351691,,,,,,,,,
2/22/2021,Ages_75+_yrs,10474157,4033613,49.1,18.9,21351691,,,,,,,,,
2/21/2021,Ages_75+_yrs,10363096,3835010,48.5,18,21351691,,,,,,,,,
2/20/2021,Ages_75+_yrs,10172271,3527218,47.6,16.5,21351691,,,,,,,,,
2/19/2021,Ages_75+_yrs,9983044,3243811,46.8,15.2,21351691,,,,,,,,,
2/18/2021,Ages_75+_yrs,9746808,2960182,45.6,13.9,21351691,,,,,,,,,
2/17/2021,Ages_75+_yrs,9561227,2745388,44.8,12.9,21351691,,,,,,,,,
2/16/2021,Ages_75+_yrs,9414919,2612181,44.1,12.2,21351691,,,,,,,,,
2/15/2021,Ages_75+_yrs,9290787,2501231,43.5,11.7,21351691,,,,,,,,,
2/14/2021,Ages_75+_yrs,9092940,2336611,42.6,10.9,21351691,,,,,,,,,
2/13/2021,Ages_75+_yrs,8787177,2061206,41.2,9.7,21351691,,,,,,,,,
2/12/2021,Ages_75+_yrs,8465651,1797011,39.6,8.4,21351691,,,,,,,,,
2/11/2021,Ages_75+_yrs,8179967,1558473,38.3,7.3,21351691,,,,,,,,,
2/10/2021,Ages_75+_yrs,7931631,1383392,37.1,6.5,21351691,,,,,,,,,
2/9/2021,Ages_75+_yrs,7690018,1218694,36,5.7,21351691,,,,,,,,,
2/8/2021,Ages_75+_yrs,7535351,1140126,35.3,5.3,21351691,,,,,,,,,
2/7/2021,Ages_75+_yrs,7322905,1068003,34.3,5,21351691,,,,,,,,,
2/6/2021,Ages_75+_yrs,6992095,909400,32.7,4.3,21351691,,,,,,,,,
2/5/2021,Ages_75+_yrs,6609427,752273,31,3.5,21351691,,,,,,,,,
2/4/2021,Ages_75+_yrs,6319967,649141,29.6,3,21351691,,,,,,,,,
2/3/2021,Ages_75+_yrs,6054082,554276,28.4,2.6,21351691,,,,,,,,,
2/2/2021,Ages_75+_yrs,5846100,491220,27.4,2.3,21351691,,,,,,,,,
2/1/2021,Ages_75+_yrs,5696447,462063,26.7,2.2,21351691,,,,,,,,,
1/31/2021,Ages_75+_yrs,5434458,412858,25.5,1.9,21351691,,,,,,,,,
1/30/2021,Ages_75+_yrs,5074536,354772,23.8,1.7,21351691,,,,,,,,,
1/29/2021,Ages_75+_yrs,4690820,285623,22,1.3,21351691,,,,,,,,,
1/28/2021,Ages_75+_yrs,4327182,225702,20.3,1.1,21351691,,,,,,,,,
1/27/2021,Ages_75+_yrs,4020412,183141,18.8,0.9,21351691,,,,,,,,,
1/26/2021,Ages_75+_yrs,3774332,159149,17.7,0.7,21351691,,,,,,,,,
1/25/2021,Ages_75+_yrs,3593243,144183,16.8,0.7,21351691,,,,,,,,,
1/24/2021,Ages_75+_yrs,3337131,135737,15.6,0.6,21351691,,,,,,,,,
1/23/2021,Ages_75+_yrs,2984559,117687,14,0.6,21351691,,,,,,,,,
1/22/2021,Ages_75+_yrs,2625413,92569,12.3,0.4,21351691,,,,,,,,,
1/21/2021,Ages_75+_yrs,2307246,68900,10.8,0.3,21351691,,,,,,,,,
1/20/2021,Ages_75+_yrs,2093405,59379,9.8,0.3,21351691,,,,,,,,,
1/19/2021,Ages_75+_yrs,1908743,52877,8.9,0.2,21351691,,,,,,,,,
1/18/2021,Ages_75+_yrs,1800596,50209,8.4,0.2,21351691,,,,,,,,,
