"jurisdiction","week_of_allocations","_1st_dose_allocations"
"Connecticut","2021-05-03T00:00:00.000","8300"
"Maine","2021-05-03T00:00:00.000","3200"
"Massachusetts","2021-05-03T00:00:00.000","16000"
"New Hampshire","2021-05-03T00:00:00.000","3200"
"Rhode Island","2021-05-03T00:00:00.000","2500"
"Vermont","2021-05-03T00:00:00.000","1500"
"New Jersey","2021-05-03T00:00:00.000","20200"
"New York","2021-05-03T00:00:00.000","25700"
"New York City","2021-05-03T00:00:00.000","19500"
"Puerto Rico","2021-05-03T00:00:00.000","7900"
"U.S. Virgin Islands","2021-05-03T00:00:00.000","300"
"Delaware","2021-05-03T00:00:00.000","2200"
"District of Columbia","2021-05-03T00:00:00.000","1700"
"Maryland","2021-05-03T00:00:00.000","13600"
"Pennsylvania","2021-05-03T00:00:00.000","26000"
"Philadelphia","2021-05-03T00:00:00.000","3600"
"Virginia","2021-05-03T00:00:00.000","19200"
"West Virginia","2021-05-03T00:00:00.000","4300"
"Alabama","2021-05-03T00:00:00.000","11000"
"Florida","2021-05-03T00:00:00.000","48100"
"Georgia","2021-05-03T00:00:00.000","22800"
"Kentucky","2021-05-03T00:00:00.000","10100"
"Mississippi","2021-05-03T00:00:00.000","6700"
"North Carolina","2021-05-03T00:00:00.000","23000"
"South Carolina","2021-05-03T00:00:00.000","11300"
"Tennessee","2021-05-03T00:00:00.000","15100"
"Chicago","2021-05-03T00:00:00.000","6200"
"Illinois","2021-05-03T00:00:00.000","22800"
"Indiana","2021-05-03T00:00:00.000","14800"
"Michigan","2021-05-03T00:00:00.000","22700"
"Minnesota","2021-05-03T00:00:00.000","12400"
"Ohio","2021-05-03T00:00:00.000","26400"
"Wisconsin","2021-05-03T00:00:00.000","13200"
"Arkansas","2021-05-03T00:00:00.000","6700"
"Louisiana","2021-05-03T00:00:00.000","10400"
"New Mexico","2021-05-03T00:00:00.000","4800"
"Oklahoma","2021-05-03T00:00:00.000","8700"
"Texas","2021-05-03T00:00:00.000","60100"
"Iowa","2021-05-03T00:00:00.000","7100"
"Kansas","2021-05-03T00:00:00.000","6400"
"Missouri","2021-05-03T00:00:00.000","13800"
"Nebraska","2021-05-03T00:00:00.000","4300"
"Colorado","2021-05-03T00:00:00.000","12500"
"Montana","2021-05-03T00:00:00.000","2400"
"North Dakota","2021-05-03T00:00:00.000","1800"
"South Dakota","2021-05-03T00:00:00.000","2000"
"Utah","2021-05-03T00:00:00.000","6300"
"Wyoming","2021-05-03T00:00:00.000","1300"
"Arizona","2021-05-03T00:00:00.000","15600"
"California","2021-05-03T00:00:00.000","87800"
"Hawaii","2021-05-03T00:00:00.000","3300"
"Nevada","2021-05-03T00:00:00.000","6600"
"American Samoa","2021-05-03T00:00:00.000","0"
"Guam","2021-05-03T00:00:00.000","0"
"Marshall Islands","2021-05-03T00:00:00.000","0"
"Micronesia","2021-05-03T00:00:00.000","0"
"Mariana Islands","2021-05-03T00:00:00.000","0"
"Palau","2021-05-03T00:00:00.000","0"
"Alaska","2021-05-03T00:00:00.000","2500"
"Idaho","2021-05-03T00:00:00.000","3700"
"Oregon","2021-05-03T00:00:00.000","9500"
"Washington","2021-05-03T00:00:00.000","16700"
"Federal Entities","2021-05-03T00:00:00.000","25700"
"Connecticut","2021-04-12T00:00:00.000","6400"
"Maine","2021-04-12T00:00:00.000","2500"
"Massachusetts","2021-04-12T00:00:00.000","12300"
"New Hampshire","2021-04-12T00:00:00.000","2500"
"Rhode Island","2021-04-12T00:00:00.000","2000"
"Vermont","2021-04-12T00:00:00.000","1200"
"New Jersey","2021-04-12T00:00:00.000","15600"
"New York","2021-04-12T00:00:00.000","19800"
"New York City","2021-04-12T00:00:00.000","15100"
"Puerto Rico","2021-04-12T00:00:00.000","6100"
"U.S. Virgin Islands","2021-04-12T00:00:00.000","200"
"Delaware","2021-04-12T00:00:00.000","1700"
"District of Columbia","2021-04-12T00:00:00.000","1300"
"Maryland","2021-04-12T00:00:00.000","10500"
"Pennsylvania","2021-04-12T00:00:00.000","20000"
"Philadelphia","2021-04-12T00:00:00.000","2800"
"Virginia","2021-04-12T00:00:00.000","14800"
"West Virginia","2021-04-12T00:00:00.000","3300"
"Alabama","2021-04-12T00:00:00.000","8500"
"Florida","2021-04-12T00:00:00.000","37000"
"Georgia","2021-04-12T00:00:00.000","17600"
"Kentucky","2021-04-12T00:00:00.000","7800"
"Mississippi","2021-04-12T00:00:00.000","5100"
"North Carolina","2021-04-12T00:00:00.000","17700"
"South Carolina","2021-04-12T00:00:00.000","8700"
"Tennessee","2021-04-12T00:00:00.000","11600"
"Chicago","2021-04-12T00:00:00.000","4800"
"Illinois","2021-04-12T00:00:00.000","17600"
"Indiana","2021-04-12T00:00:00.000","11400"
"Michigan","2021-04-12T00:00:00.000","17500"
"Minnesota","2021-04-12T00:00:00.000","9600"
"Ohio","2021-04-12T00:00:00.000","20300"
"Wisconsin","2021-04-12T00:00:00.000","10200"
"Arkansas","2021-04-12T00:00:00.000","5200"
"Louisiana","2021-04-12T00:00:00.000","8000"
"New Mexico","2021-04-12T00:00:00.000","3700"
"Oklahoma","2021-04-12T00:00:00.000","6700"
"Texas","2021-04-12T00:00:00.000","46300"
"Iowa","2021-04-12T00:00:00.000","5400"
"Kansas","2021-04-12T00:00:00.000","5000"
"Missouri","2021-04-12T00:00:00.000","10600"
"Nebraska","2021-04-12T00:00:00.000","3300"
"Colorado","2021-04-12T00:00:00.000","9700"
"Montana","2021-04-12T00:00:00.000","1900"
"North Dakota","2021-04-12T00:00:00.000","1400"
"South Dakota","2021-04-12T00:00:00.000","1500"
"Utah","2021-04-12T00:00:00.000","4900"
"Wyoming","2021-04-12T00:00:00.000","1000"
"Arizona","2021-04-12T00:00:00.000","12000"
"California","2021-04-12T00:00:00.000","67600"
"Hawaii","2021-04-12T00:00:00.000","2600"
"Nevada","2021-04-12T00:00:00.000","5100"
"American Samoa","2021-04-12T00:00:00.000","0"
"Guam","2021-04-12T00:00:00.000","0"
"Marshall Islands","2021-04-12T00:00:00.000","0"
"Micronesia","2021-04-12T00:00:00.000","0"
"Mariana Islands","2021-04-12T00:00:00.000","0"
"Palau","2021-04-12T00:00:00.000","0"
"Alaska","2021-04-12T00:00:00.000","1900"
"Idaho","2021-04-12T00:00:00.000","2900"
"Oregon","2021-04-12T00:00:00.000","7300"
"Washington","2021-04-12T00:00:00.000","12900"
"Federal Entities","2021-04-12T00:00:00.000","129600"
"Connecticut","2021-04-05T00:00:00.000","53900"
"Maine","2021-04-05T00:00:00.000","20600"
"Massachusetts","2021-04-05T00:00:00.000","103800"
"New Hampshire","2021-04-05T00:00:00.000","20600"
"Rhode Island","2021-04-05T00:00:00.000","16200"
"Vermont","2021-04-05T00:00:00.000","9700"
"New Jersey","2021-04-05T00:00:00.000","131600"
"New York","2021-04-05T00:00:00.000","167600"
"New York City","2021-04-05T00:00:00.000","127200"
"Puerto Rico","2021-04-05T00:00:00.000","51400"
"U.S. Virgin Islands","2021-04-05T00:00:00.000","1600"
"Delaware","2021-04-05T00:00:00.000","14300"
"District of Columbia","2021-04-05T00:00:00.000","10800"
"Maryland","2021-04-05T00:00:00.000","88800"
"Pennsylvania","2021-04-05T00:00:00.000","169200"
"Philadelphia","2021-04-05T00:00:00.000","23500"
"Virginia","2021-04-05T00:00:00.000","124700"
"West Virginia","2021-04-05T00:00:00.000","27800"
"Alabama","2021-04-05T00:00:00.000","71800"
"Florida","2021-04-05T00:00:00.000","313200"
"Georgia","2021-04-05T00:00:00.000","148500"
"Kentucky","2021-04-05T00:00:00.000","65300"
"Mississippi","2021-04-05T00:00:00.000","43200"
"North Carolina","2021-04-05T00:00:00.000","149800"
"South Carolina","2021-04-05T00:00:00.000","73500"
"Tennessee","2021-04-05T00:00:00.000","98100"
"Chicago","2021-04-05T00:00:00.000","39900"
"Illinois","2021-04-05T00:00:00.000","148600"
"Indiana","2021-04-05T00:00:00.000","96500"
"Michigan","2021-04-05T00:00:00.000","147800"
"Minnesota","2021-04-05T00:00:00.000","80800"
"Ohio","2021-04-05T00:00:00.000","171900"
"Wisconsin","2021-04-05T00:00:00.000","85900"
"Arkansas","2021-04-05T00:00:00.000","43500"
"Louisiana","2021-04-05T00:00:00.000","67700"
"New Mexico","2021-04-05T00:00:00.000","30800"
"Oklahoma","2021-04-05T00:00:00.000","56400"
"Texas","2021-04-05T00:00:00.000","392100"
"Iowa","2021-04-05T00:00:00.000","45800"
"Kansas","2021-04-05T00:00:00.000","41800"
"Missouri","2021-04-05T00:00:00.000","89600"
"Nebraska","2021-04-05T00:00:00.000","27600"
"Colorado","2021-04-05T00:00:00.000","81400"
"Montana","2021-04-05T00:00:00.000","15600"
"North Dakota","2021-04-05T00:00:00.000","11300"
"South Dakota","2021-04-05T00:00:00.000","12500"
"Utah","2021-04-05T00:00:00.000","40700"
"Wyoming","2021-04-05T00:00:00.000","8500"
"Arizona","2021-04-05T00:00:00.000","101700"
"California","2021-04-05T00:00:00.000","572700"
"Hawaii","2021-04-05T00:00:00.000","21300"
"Nevada","2021-04-05T00:00:00.000","42900"
"American Samoa","2021-04-05T00:00:00.000","3700"
"Guam","2021-04-05T00:00:00.000","16900"
"Marshall Islands","2021-04-05T00:00:00.000","9600"
"Micronesia","2021-04-05T00:00:00.000","15900"
"Mariana Islands","2021-04-05T00:00:00.000","1600"
"Palau","2021-04-05T00:00:00.000","3200"
"Alaska","2021-04-05T00:00:00.000","15800"
"Idaho","2021-04-05T00:00:00.000","23800"
"Oregon","2021-04-05T00:00:00.000","61400"
